Date,Open,High,Low,Close,Volume
2025-08-02,139.67,169.13,98.86,118.35,3432170
2025-08-03,146.75,151.9,95.27,145.94,1894573
2025-08-04,102.48,157.41,97.65,142.93,4261663
2025-08-05,138.25,158.55,92.4,152.8,2403922
2025-08-06,134.32,155.77,91.05,128.55,1972358
2025-08-07,111.41,150.34,97.48,149.42,1866334
2025-08-08,102.25,167.18,93.62,122.87,1870348
2025-08-09,124.81,158.85,95.65,147.0,1374904
2025-08-10,146.97,152.72,96.53,122.97,2585434
2025-08-11,102.51,150.8,95.99,114.3,2800240
2025-08-12,136.29,157.75,95.75,125.19,3796887
2025-08-13,110.24,169.15,93.58,152.39,3064228
2025-08-14,122.7,169.22,98.79,148.9,2861015
2025-08-15,106.86,164.39,96.27,156.31,1646472
2025-08-16,103.68,151.0,93.98,154.81,1111084
2025-08-17,110.76,168.3,97.19,150.21,2484555
2025-08-18,118.1,158.17,97.19,110.62,1881624
2025-08-19,118.82,162.28,91.87,136.73,3690124
2025-08-20,144.7,153.94,91.15,152.97,4733727
2025-08-21,104.24,158.11,93.27,120.45,3361183
2025-08-22,116.36,154.75,90.46,109.57,4424198
2025-08-23,149.02,152.47,93.37,145.22,3055735
2025-08-24,102.11,164.91,98.64,115.75,1930163
2025-08-25,139.86,162.78,96.41,154.74,2494879
2025-08-26,128.33,157.52,94.93,103.95,4850047
2025-08-27,114.19,170.0,93.39,110.13,2081351
2025-08-28,129.0,152.66,90.44,158.21,1361702
2025-08-29,119.81,161.75,94.27,130.19,4641458
2025-08-30,116.68,164.69,94.48,122.89,1190731
2025-08-31,106.03,153.14,97.01,108.28,3031359
